,Name,Case Number,City,States & Territories,Date Filed,Region Assigned,Status,Date Closed,Reason Closed,No. of Eligible Voters,No. of Employees,Certified Representative,Unit Sought,Fiscal Year
3505,"Blue Sprocket Pressing, LLC",05-RC-325245,Harrisonburg,VA,2023-09-06,"Region 05, Baltimore, Maryland",Closed,10/24/2023,Certific. of Representative,9.0,10.0,Teamsters Local 29,"Included:  production workers, clerks, and lead persons

Excluded:  all other employees, managers, and owners
",2023
3506,"Alamo Intermediate II Holdings, LLC",02-RC-325425,Manhattan,NY,2023-09-06,"Region 02, New York, New York",Closed,10/20/2023,Certific. of Representative,100.0,92.0,"Local 2179 of the International Union, United Automobile, Aerospace and Agricultural Implement Workers of America (UAW)","Local 2179 of the International Union, UAW",2023
3507,"Covanta Niagara I, LLC",03-RC-325196,Niagara Falls,NY,2023-09-06,"Region 03, Buffalo, New York",Closed,11/03/2023,Certification of Results,75.0,70.0,,"Maintenance Mechanic,
 Equipment Operator,
 Back Plant Operator,
 Asst. Control Room Oper., Scale Attendant, Truck Driver,
 Lead Operator,
 Crane Operator, Utility Operator, Reach Stacker,
 Auxiliary Operator, Lead Load Operator,
 Painter, Electrician, Tipping Floor Operator, Liquid Waste Worker, Rail Yard Worker,
 Instrument and Controls Tech, Elect and Instrument Tech, Plant Service Worker, Millwright
 Mobile Equipment Mechanic, Maintenance Tech, Lead
 Maintenance Mechanic, Container Mechanic, employed by the employer at the Niagara Falls, NY plant.",2023
3508,"Underwood Fruit and Warehouse Company, LLC d/b/a Mount Adams Fruit",19-RC-325227,Bingen,WA,2023-09-06,"Region 19, Seattle, Washington",Closed,11/22/2023,Certification of Results,359.0,275.0,"United Food and Commercial Workers Local 3000, chartered by the United Food and Commercial Workers","Included: 

All employees employed by the Employer at it's 6550 Highway 14, Bingen, WA & 111 Parallel Avenue, Dallesport, WA facilities

Excluded: 

All other employees, managers, supervisors, office clerical, confidential employees, and guards as defined by the Act",2023
3509,Sutter Care at Home (SCAH) - San Mateo Hospice,20-RC-325268,San Mateo,CA,2023-09-06,"Region 20, San Francisco, California",Closed,11/06/2023,Certification of Results,3.0,4.0,National Union of Healthcare Workers (NUHW),"Included: All full-time, regular part-time and per diem registered nurse, professional and
service employees employed by the employer in the following job
classifications:
Group A (RN/Pros): Hospice Hospital Liaison, Clinical Nurse Educator III,
Volunteer Program Specialist
Excluded: All other employees, confidential employees, employees represented by other
labor organizations, guards and supervisors as defined by the National Labor
Relations Act.",2023
3510,Sutter Care at Home - Sacramento (Hospice),20-RC-325271,Sacramento,CA,2023-09-06,"Region 20, San Francisco, California",Closed,12/04/2023,Certification of Results,15.0,15.0,National Union of Healthcare Workers (NUHW),"Included: All full-time, regular part-time and per diem registered nurse, professional, and service employees employed by the employer, including in the following job classifications:

Group A (RN/Pros): Hospice Hospital Liaison, Clinical Nurse Educator III, Volunteer Program Specialist, Bereavement Counselor III, Children's Bereavement Art Group – Bereavement Counselor III

Group B (Service): Scheduler II, Chart Completion Representative I

Excluded: All other employees, confidential employees, employees represented by other labor organizations, guards, and supervisors as defined by the National Labor Relations Act.",2023
3511,"Lewis Tree Service, Inc.",07-RC-325528,Flint,MI,2023-09-06,"Region 07, Detroit, Michigan",Closed,10/19/2023,Certific. of Representative,12.0,12.0,"Local 876, International Brotherhood of Electrical Workers (IBEW), AFL-CIO","Included:  All Foreman, Crew Leader, Groundman, Trimmers, Vegetation and Trainees

Excluded:  All Supervisors and Security Guards according to ACT",2023
3512,The Oaks Park Association d/b/a Oaks Park,19-RC-325263,Portland,OR,2023-09-06,"Region 19, Seattle, Washington",Closed,07/22/2024,Certification of Results,66.0,60.0,,"Included: Ride Operators, Ride Foremen. Excluded: Security, Landscaping, Games Workers, Roller Rink Staff, Concessions, Managment, Office Workers, Ticket Booth, Guest Services, First Aid, Maintenance.",2023
3513,"Story of Maryland, LLC",05-RC-325185,Mechanicsville,MD,2023-09-05,"Region 05, Baltimore, Maryland",Closed,10/20/2023,Certific. of Representative,19.0,15.0,"United Food and Commercial Workers Union Local 400 a/w United Food and Commercial Workers International Union, AFL-CIO","Included:  All full-time and regular part-time employees.

Excluded:  Casual employees, guards, and supervisors as defined by The Act.",2023
3514,Pacific Gas and Electric Co.,20-RC-325144,San Francisco,CA,2023-09-05,"Region 20, San Francisco, California",Closed,11/06/2023,Certification of Results,43.0,44.0,"Engineers and Scientists of California, Local 20 lFPTE","Included: All Gas Systems Engineers and Gas Systems Planning Engineers (including Associate, Senior and Expert) in the Employer's Gas Operations- Transmission  department. 
These employees will be added to the Union's existing professional and technical unit via an Armour-Globe self-determination election. 

Excluded: All supervisors, guards and all other employees as defined by the Act. 
",2023
3515,Starbucks Corporation,10-RC-325112,Jonesboro,GA,2023-09-05,"Region 10, Atlanta, Georgia",Closed,10/19/2023,Certific. of Representative,19.0,24.0,Workers United Southern Regional Joint Board,"Included:
All Full time and regular part time Baristas and Shift Supervisors

Excluded:
Ass. Store Managers, Store Managers, office clericals, guards, and supervisors as defined by the act.",2023
3516,"Prospect Chartercare SJHSRI, LLC, d/b/a Our Lady of Fatima Hospital",01-RC-325190,North Providence,RI,2023-09-05,"Region 01, Boston, Massachusetts",Closed,11/02/2023,Certific. of Representative,73.0,60.0,United Nurses and Allied Professional,"Including all full-time and regular part-time professional employees employed by the Employer at its 200 High Street Avenue, Providence, Rhode Island facility; but excluding, directors, and managers, guards and supervisors within the meaning of the Act.",2023
3517,"Covanta Haverhill, Inc.",01-RC-325158,Haverhill,MA,2023-09-05,"Region 01, Boston, Massachusetts",Closed,10/19/2023,Certific. of Representative,44.0,40.0,INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL 877 & LOCAL 4,"Included: All full time, regular part time, and per diem Maintenance Mechanics, Lead Maintenance Mechanics, Auxiliary Operators, Welders, Metal Recovery Technicians, Ash Recovery Technicians, Electrical and Instrument Technicians, Utility Operators, Lead Electrical and Instrument Technicians, Control Room Operators, Scale Attendants, Storekeepers, Equipment Operators, and Maintenance Helpers; but excluding All other employees, clerical/administrative, managers, confidential employees, guards and supervisors as defined in the Act.
",2023
3518,"Prospect Chartercare SJHSRI, LLC, d/b/a Our Lady of Fatima Hospital",01-RC-325157,North Providence,RI,2023-09-05,"Region 01, Boston, Massachusetts",Closed,11/02/2023,Certific. of Representative,91.0,100.0,United Nurses and Allied Professionals,"Including all full-time and regular part-time technical employees employed by the Employer at its 200 High Service Avenue, Providence, Rhode Island facility; but excluding, directors, and managers, guards, professional employees and supervisors within the meaning of the Act",2023
3519,MN350,18-RC-325212,Minneapolis,MN,2023-09-05,"Region 18, Minneapolis, Minnesota",Closed,09/14/2023,Withdrawal Non-adjusted,,14.0,,"Included: All full-time and regular part-time employees

Excluded: exec director, cfo, office admins, supervisors, confidentials, guards, all excluded by act",2023
3520,Crothall Healthcare,05-RC-324926,Davidsonville,MD,2023-09-01,"Region 05, Baltimore, Maryland",Closed,02/22/2024,Withdrawal Non-adjusted,,3.0,,"Included: All full time and regular part-time cleaners.

Excluded: All clerical employees, management and confidential employees, guards, and supervisor.",2023
3521,"Triple Canopy, Inc.",07-RC-325153,Battle Creek,MI,2023-09-01,"Region 07, Detroit, Michigan",Closed,11/17/2023,Certific. of Representative,17.0,1.0,"International Union, Security, Police, and Fire Professionals of America (SPFPA)","Included: All full-time armed lieutenants performing guard duties as defined in section 9(b)(3) of the national labor relations act, employed by Constellis at 3 Michigan locations- see attached

Excluded: All office clerical employees, professional employees and supervisors as defined by the act.
",2023
3522,"First Student, Inc.",01-RC-324947,New London,CT,2023-09-01,"Region 01, Boston, Massachusetts",Closed,10/04/2023,Certific. of Representative,67.0,67.0,"International Brotherhood of Teamsters, Local 493",Included: All bus drivers and monitors. Excluded: All office staff,2023
3523,"UHS of Fairmount, Inc.",04-RC-325003,Philadelphia,PA,2023-09-01,"Region 04, Philadelphia, Pennsylvania",Closed,11/06/2023,Certific. of Representative,150.0,61.0,"District 1199C, National Union of Hospital and Health Care Employees, AFSCME, AFL-CIO","Included: All full-time, regular part-time, and per diem registered nurses and licensed practical nurses employed by the Employer at its 561 Fairthorne Avenue, Philadelphia, Pennsylvania facility. Excluded: All other employees, office clericals, guards, and supervisors as defined in the Act.",2023
3524,St Peter's Health,19-RC-325011,Helena,MT,2023-09-01,"Region 19, Seattle, Washington",Closed,10/25/2023,Certification of Results,71.0,66.0,Montana Nurses  Association,"Included:

All full-time, part-time, and per diem RNs employed by St Peters Health clinics.

Excluded: 

Managers, supervisors, APRNS",2023
3525,"Northland Auto Center, LLC d/b/a Northland Chevrolet",18-RC-325082,Superior (Town),WI,2023-09-01,"Region 18, Minneapolis, Minnesota",Closed,10/11/2023,Certific. of Representative,3.0,3.0,"District Lodge 77, International Association of Machinists and Aerospace Workers, AFL-CIO","Included:  All full-time and regular part-time Service Advisors, employed by the Employer at their facility located at 1420 Ogden Avenue, Superior, WI.

Excluded:  all other employees, office clerical employees, professional employees, guards and supervisors, as defined by the Act.",2023
3526,Lewis Tree Service,03-RC-324824,West Henrietta,NY,2023-08-31,"Region 03, Buffalo, New York",Closed,09/14/2023,Withdrawal Non-adjusted,,12.0,,"Included:  All Foreman, Crew Leader, Groundman, Trimmers, Vegetation and Trainees.

Excluded:  All Supervisors and Security Guards according to the ACT.",2023
3527,"Unity Health Care, Inc.",05-RC-324906,Washington,DC,2023-08-31,"Region 05, Baltimore, Maryland",Closed,10/03/2023,Withdrawal Non-adjusted,,121.0,,"Included: All full-time and regular part-time and per diem physicians (MD, DO), dentists, podiatrists, nurse practitioners, physician assistants, certified nurse midwife, mental health clinics employed as the locations listed in Attachment A.
Excluded: All other employees, guards and supervisors.",2023
3528,"Wilhelm Mortuary, Inc. d/b/a Neptune Cremation Service",19-RC-324954,Happy Valley,OR,2023-08-31,"Region 19, Seattle, Washington",Closed,10/13/2023,Certific. of Representative,6.0,6.0,"International Brotherhood of Electrical Workers, Local 89","Included: All office coordinators, funeral directors, funeral service practitioners and embalmers. Excluded: Any supervisory, managerial or confidential employees.",2023
3529,Honsa Printing,18-RC-324922,Saint Paul,MN,2023-08-31,"Region 18, Minneapolis, Minnesota",Closed,09/21/2023,Dismissal Non-adjusted,,9.0,,"Included: All regular full-time and regular-part-time printers employed by the employer in its St. Paul MN facility.

Excluded: Supervisors, Managers, Office Clericals, Guards and all other employees as defined by the act.",2023
3530,"Editorial Projects in Education, Inc.",05-RC-324949,Bethesda,MD,2023-08-31,"Region 05, Baltimore, Maryland",Closed,11/09/2023,Certific. of Representative,55.0,45.0,"The News Guild, a/w Communications Workers of America, AFL-CIO, CLC","Included: All full-time and regular part-time employees in the Accounting, Ad Operations, Audience Engagement and Analytics, Editorial, Front Office, IT, Marketbrief, Marketing, Research Center, Visual and Immersive Experiences, and Web departments.

Excluded: Supervisors, managerial employees and confidential employees as defined in the Act.
",2023
3531,"Safeway, Inc.",19-RC-324893,Wilsonville,OR,2023-08-31,"Region 19, Seattle, Washington",Closed,10/18/2023,Certific. of Representative,4.0,4.0,"Bakery, Confectionery, Tobacco Workers and Grain Millers Union, Local 114, AFL-CIO, CLC","Included: All production bakers, utility bakers, decorators, and assistant manager. Excluded: None.",2023
3532,Intermountain Gas Company,27-RC-324911,Boise,ID,2023-08-31,"Region 27, Denver, Colorado",Closed,10/11/2023,Certific. of Representative,13.0,14.0,"Plumbers and Fitters Local Union No. 296 and Plumbers and Pipefitters Local Union No. 648 as joint petitioners, affiliated with United Association of Journeymen and Apprentices of the Plumbing and Pipefitting Industry of the United States and Canada, AFL-CIO","Included: All full-time and regular part-time field operations coordinators employed by the Employer out of its locations at 1527 Hollipark Drive, Idaho Falls, ID 83401, 555S. Cole Road, Boise, ID 83709, 2921 Caldwell Boulevard, Nampa, ID 83561, 451 Alan Drive, Jerome, ID 83338, and 12584 W. Tyhee Road, Pocatello, ID 83202.
Excluded: All other employees, managers, office clericals, guards and supervisors as defined in the Act.",2023
3533,"Ardent Mills, LLC",16-RC-324948,Sherman,TX,2023-08-31,"Region 16, Fort Worth, Texas",Closed,11/13/2023,Certific. of Representative,1.0,15.0,"BAKERY CONFECTIONERY TOBACCO WORKERS AND GRAIN MILLERS INTERNATIONAL UNION, AND ITS LOCAL 111, AFL-CIO, CLC","Included:  This petition seeks an Armour-Globe election for presently unrepresented full-time and regular part-time Quality Assurance Technician employees to be added to the currently existing collective bargaining unit in the collective bargaining agreement effective February 1st, 2021 between Ardent Mills and Bakery, Confectionary, Tobacco Workers and Grain Millers International Union, AFL-CIO Local No. 111.

Excluded: All other employees including Temporary, Professional, Office Clerical, Managers, Guards and Supervisors as defined in the Act.",2023
3534,HCON Inc/HCON Services LLC,19-RC-324823,Puyallup,WA,2023-08-30,"Region 19, Seattle, Washington",Closed,09/21/2023,Withdrawal Non-adjusted,,42.0,,"Included:  

All full-time and regular part-time Construction Craft Laborers employed by the employer in all the jurisdiction of the Washington and Northern Idaho District Council of Laborers, together with its Affiliated Local Unions.

Excluded: 

All office, supervisors and security guards by the Act, and all other workers covered by another collective bargaining agreement.
",2023
3535,"Smart Simple Solutions, LLC",05-RC-324801,Leesburg,VA,2023-08-30,"Region 05, Baltimore, Maryland",Open,,,47.0,60.0,,"Included: All full-time and regular part-time field employees engaged in erection and installation, welders and helpers. 
 
Excluded: All salaried employees, professional employees, shop and fabrication employees, drivers, clerical employees, managerial employees, guards, and supervisors as defined by the Act.",2023
3536,Hofstra University,29-RC-324799,Hempstead,NY,2023-08-30,"Region 29, Brooklyn, New York",Closed,10/19/2023,Certific. of Representative,56.0,50.0,Local 1013 United Security Officers of America,"Included:
All full-time and regular part time Public Safety Officers.

Excluded:
All other employees including but not limited to managerial, supervisors, professional employees as defined by the Act.",2023
3537,Red Mesa Mechanical LLC,28-RC-325104,Las Vegas,NV,2023-08-30,"Region 28, Phoenix, Arizona",Open,,,,7.0,,"Included:  HVAC / Mechanical Duct Installers

Excluded:  Red Mesa Electric, Red Mesa Builders, Red Mesa Mechanical Plumbing and Heating",2023
3538,Rea Magnet Wire Company Inc.,05-RC-324770,Ashland,VA,2023-08-29,"Region 05, Baltimore, Maryland",Closed,10/10/2023,Certific. of Representative,41.0,32.0,"Local Union No. 666, International Brotherhood of Electrical Workers AFL-CIO","Included: All full-time and regular part-time operators I, operators II, maintenance techs, maintenance mechanics, and shipping employees employed by the Employer at the facility currently located at 10117 Leadbetter Place, Ashland, Virginia 23005. 

Excluded: All other employees, professional employees, temporary employees, office clerical employees, confidential employees, managerial  employees, guards and supervisors as defined in the Act.",2023
3539,Through These Doors,01-RC-324756,Portland,ME,2023-08-29,"Region 01, Boston, Massachusetts",Closed,10/06/2023,Certific. of Representative,22.0,25.0,"Maine State Employees Association, SEIU Local 1989","Included:
Development Associate, All Educators: Including YAAPP, Community, CDVIP, All Advocates Including: Housing and Resource, Shelter, EPIC, Community Based, Core Services, Safe Reentry, Intercultural Engagement Liaison to DHHS and CPS Volunteer Coordinator.

Excluded:
All Supervisory, Managerial, Confidential Employees and Guards As defined by the Act.
",2023
3540,GTI Nevada LLC,32-RC-324781,Carson City,NV,2023-08-29,"Region 32, Oakland, California",Closed,10/27/2023,Certific. of Representative,22.0,22.0,United Food and Commercial Workers Local 711,"Included: All full-time and regular part-time Budtenders/ Guest Consultants, Inventory Specialists, Shift Leads/Lead Budtenders and Delivery Drivers

Excluded: All others, guards and supervisors",2023
3541,LOCKHEED MARTIN CORPORATION,09-RC-324734,Lexington,KY,2023-08-29,"Region 09, Cincinnati, Ohio",Closed,10/23/2023,Certific. of Representative,329.0,200.0,"International Association of Machinists and Aerospace Workers, AFL-CIO","Included:  ALL REGULAR AND PART-TIME AIRCRAFT MECHANICS I, II, III, AIRCRAFT MECHANIC HELPERS, AIRCRAFT WORKERS, MATERIAL COORDINATOR, AEROSPACE STRUCTURAL WELDER, GROUND SUPPORT EQUIPMENT MECHANIC, SHEET METAL WORKER MAINTENANCE, QUALITY INSPECTORS, ELECTRONIC TECH I, II, III, AND FAB SHOP WIREMEN WORKING AT LOCKHEED MARTIN BLUEGRASS STATION IN LEXINGTON, KY.
Excluded:  OFFICE CLERICAL EMPLOYEES, PROFESSIONAL EMPLOYEES, MANAGERIAL EMPLOYEES, GUARDS, SUPERVISORS, AS DEFINED IN THE ACT AND SITE MANAGER.",2023
3542,"Universal Protection Service,  LLC d/b/a Allied Universal  Security Services",05-RC-324757,Washington,DC,2023-08-29,"Region 05, Baltimore, Maryland",Closed,10/05/2023,Dismissal Non-adjusted,,33.0,,"Included: All Full & Part-Time Guards employed by the employer at the Department of Education Site at 400 Maryland Ave SW, Washington, DC 20202.

Excluded: Office clerical, professional, employees, managers & supervisors as defined in the Act.",2023
3543,Sundby Sand & Gravel Co. Inc.,18-RC-324602,Stoughton,WI,2023-08-28,"Region 18, Minneapolis, Minnesota",Closed,10/13/2023,Certification of Results,10.0,10.0,,"Included: Drivers and helpers 

Excluded: Clerical and supervisory",2023
3544,"Bedford Rural Electric Cooperative, Inc.",06-RC-324638,Bedford,PA,2023-08-28,"Region 06, Pittsburgh, Pennsylvania",Closed,10/25/2023,Certific. of Representative,,13.0,Bedford Rural Electric Independent Union,"Included: All production, operation and maintenance 
Excluded: All office, clerical, guards, professional and supervisors as defined by the Act.",2023
3545,"PRAIRIE RIDGE HOSPITAL AND HEALTH SERVICES, INC.",18-RC-324603,Elbow Lake,MN,2023-08-28,"Region 18, Minneapolis, Minnesota",Closed,09/21/2023,Withdrawal Non-adjusted,,17.0,,"Included:  All Regular FT, PT and Casual RNs and LPNs employed by Elbow Lake Med Center.

Excluded:  All other employees at Elbow Lake Medical Center.",2023
3546,"Quest Diagnostics Clinical Laboratories, Inc.",10-RC-324673,Abbeville,GA,2023-08-28,"Region 10, Atlanta, Georgia",Closed,12/15/2023,Certific. of Representative,14.0,82.0,,"Included: All full-time and regular part-time Route Service Representatives (RSR) and lead RSR's. Excluded: All other employees, guards, and supervisors as defined by the Act.",2023
3547,"Crestline Hotels & Resorts, LLC d/b/a The Delphi Downtown LA",21-RC-324634,Los Angeles,CA,2023-08-28,"Region 21, Los Angeles, California",Closed,10/05/2023,Withdrawal Non-adjusted,,3.0,,"Included: all full time, regular time, part time and peridium Building engineers, Facility engineers, Maintenance Technicians, employed at The Delphi Downtown LA, at 550 Flower St, Los Angeles, CA 90071 

Excluded: All other employees, professional employees, managerial employees, security guards and supervisors as defined in the Act, as amended",2023
3548,Statesville Painting and Maintenance LLC,10-RC-324707,Danville,VA,2023-08-28,"Region 10, Atlanta, Georgia",Open,,,24.0,22.0,,"Included: All Painters working out of Danville, VA location and in IUPAT DC 53 jurisdiction.",2023
3549,Providence Health and Services d/b/a Providence Home and Community,19-RC-324521,Portland,OR,2023-08-25,"Region 19, Seattle, Washington",Closed,09/11/2023,Withdrawal Non-adjusted,,4.0,,Included: Hospice Nurse Practitioners to be included in existing Home and Community bargaining unit. Excluded: None.,2023
3550,"Hudson Vista Medical, P.C., and St. Luke's Cornwall Hospital, as joint employers",02-RC-324538,Newburgh,NY,2023-08-25,"Region 02, New York, New York",Closed,10/27/2023,Certific. of Representative,19.0,20.0,1199SEIU United Health Care Workers East,"Included: All full-time and regular part-time, including per diem*, employees jointly employed by Hudson Vista Medical, P.C. and Montefiore St. Luke's Cornwall.
*(Per diems are eligible to vote if they worked an average of four or more hours per week for the thirteen week period immediately preceding the payroll eligibility date.)

Excluded: All physicians, guards, supervisors, and confidential employees as defined in the Act.",2023
3551,"Gonzales Consulting Services, Inc.",05-RC-324514,Woodlawn,MD,2023-08-25,"Region 05, Baltimore, Maryland",Closed,09/06/2023,Withdrawal Non-adjusted,,22.0,,"Included: All full-time and part-time armed and unarmed control center employees and supervisors performing guard duties as defined in Section 9(b)(3) of the National Labor Relations Act, employed by Gonzales Consulting Services, Inc. @ Social Security Administration's National Headquarters, Security ""West"" and National Computer Center Facilities in Woodlawn, MD.

Excluded: All office clerical employees, professional employees and supervisors as defined by the Act.",2023
3552,"Sunbelt Rentals, Inc.",07-RC-324626,Oak Park,MI,2023-08-25,"Region 07, Detroit, Michigan",Closed,10/23/2023,Certific. of Representative,4.0,4.0,"Local 324, International Union Of Operating Engineers (IUOE), AFL-CIO","Included:  All full-time and regular part-time drivers, mechanics, shop foreman, and yard associates employed at the Employer's 12992 W. 8 Mile Rd., Oak Park, Ml 48237 
Excluded: branch managers, outside sales representatives, equipment rental specialists, dispatchers, service managers, office clerical employees, and guards and supervisors as defined in the Act.",2023
3553,DUNKIN' DONUTS,09-RC-324532,Cincinnati,OH,2023-08-25,"Region 09, Cincinnati, Ohio",Closed,09/11/2023,Withdrawal Non-adjusted,,23.0,,"Included: All hourly employees.  

Excluded: All other employees, managers, supervisors, or other employees as defined by the Act.",2023
3554,"Vertical Endeavors Minneapolis, Inc., Vertical Endeavors St. Paul, Inc., Vertical Endeavors Twin Cities Bouldering, Inc., Vertical Endeavors Bloomington, Inc., and Vertical Endeavors Duluth, Inc., a single employer",18-RC-324559,Saint Paul,MN,2023-08-25,"Region 18, Minneapolis, Minnesota",Closed,12/07/2023,Certific. of Representative,91.0,90.0,United Food and Commercial Workers,"Included: All full-time and regular part-time Vertical Endeavors (d/b/a Vertical Endeavors, Twin Cities Bouldering, and Nicros) employees in Minnesota (including in Bloomington, Minneapolis, St. Paul, and Duluth) including but not limited to counter rush, route setters, coaches, maintenance, managers on duty, hold makers, and guides. Excluded: Supervisors and guides, as defined by the Act.",2023
3555,"Walt Disney Pictures and its subsidiaries Blue Koala Pictures, Inc.; C. Stand Productions, Inc.; Glory and Good Productions, Inc.; Scenery Productions, Inc.; Scepter Pictures, Inc.; Scion Productions, Inc., as a single employer",31-RC-324591,Burbank,CA,2023-08-25,"Region 31, Los Angeles, California",Closed,10/11/2023,Certific. of Representative,18.0,18.0,"The International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, its Territories and Canada","Included: VFX Production Supervisor/Manager, VFX Associate Production Manager, Senior VFX Coordinator, VFX Coordinator (including VFX Animation Coordinator), VFX Asst. Coordinator, VFX Production Assistant, VFX Witness Camera Operator, VFX Production Artist (a.k.a. In-House Compositor, Virtual Art Director), VFX On-Set 
Supervisor/Manager, Lead VFX Data Wrangler, VFX Data Wrangler, VFX Jr. Data.

Excluded: All other employees, guards, confidential employees and supervisors as defined by the National Labor Relations Act.",2023
3556,Country Gardens Health & Rehabilitation Center,01-RC-324582,Swansea,MA,2023-08-25,"Region 01, Boston, Massachusetts",Closed,09/18/2023,Withdrawal Non-adjusted,,13.0,,"Included: All full-time, regularly scheduled part-time and per diem Physical Therapists.Physical Therapist Assistants, Speech-Language 
Pathologists,Occupational Therapists ,Certified Occupational Therapy Assistants and Restorative Coordinator. Excluded: All other employees including Registered Nurses, Certified Nursing Aides, all supervisors and managerial employees as defined by the Act.",2023
3557,"EduStaff, LLC",07-RC-324672,Mattawan,MI,2023-08-25,"Region 07, Detroit, Michigan",Closed,10/24/2023,Certific. of Representative,49.0,40.0,Mattawan Edustaff Paraprofessional Association,Included: Paraprofessionals Excluded: Substitute Paraprofessionals,2023
3558,Emory University,10-RC-324546,Atlanta,GA,2023-08-25,"Region 10, Atlanta, Georgia",Closed,12/26/2023,Certific. of Representative,1647.0,1722.0,"Workers United, Southern Regional Joint Board","Included: 
All PhD students emolled at Emory University in the Laney Graduate School at its Atlanta, Georgia campus who provide instructional services or research services, including, but not limited to, teaching assistants, research assistants, teaching associates, instructors of record, and graders. 
Excluded: 
All students not working towards PhD degrees offered through the Laney Graduate School and all other employees, guards, and supervisors as defined in the Act.",2023
3559,"Transdev Services, Inc.",05-RC-324443,Lorton,VA,2023-08-24,"Region 05, Baltimore, Maryland",Closed,10/31/2023,Certific. of Representative,45.0,45.0,Independent Supervisors Union,"Included: Dispatchers, BOCC controllers, Classroom Trainers employed by Employer at its Fairfax Connector Division with worksites currently in Lorton, Herndon and Fairfax.

Excluded: All Assistant Chief Supervisors, auditor Driver Certification and other employees represented by a labor organization, clerical, office professional employees, guards and supervisors as defined in the Act.",2023
3560,"Silvercare Nursing Development, LLC",04-RC-324491,Chester,PA,2023-08-24,"Region 04, Philadelphia, Pennsylvania",Closed,09/07/2023,Withdrawal Non-adjusted,,7.0,,"Included:  Nursing and property maintenance personnel.
Excluded:  Security personnel.",2023
3561,"Government Contracting Resources, Inc.",05-RC-324480,Laurel,MD,2023-08-24,"Region 05, Baltimore, Maryland",Closed,10/06/2023,Certific. of Representative,5.0,5.0,"International Union of Operating Engineers, Local 99, a/w International Union of Operating Engineers, AFL-CIO","Included: All fulltime and regular part-time employees, employed by the employer as maintenance staff to include, hvac techs, electricians, plumbers, and carpenters at U.S. Secret Service Training Ctr, 9200 Powder Mill Road, Laurel, MD.

Excluded: All professional employees, all managerial employees, all clerical employees, all guards and supervisors as defined by the Act.
",2023
3562,"Scripps Media, Inc.",21-RC-324522,San Diego,CA,2023-08-24,"Region 21, Los Angeles, California",Closed,10/06/2023,Certific. of Representative,3.0,3.0,"National Association of Broadcast Employees and Technicians - Communications Workers of America, AFL-CIO","Included:  Armour Globe Election to include Creative Services Producers and Promotions Producers in existing unit 

Excluded: Supervisors, Manager, Guards, and all other employees.",2023
3563,"PepsiCo, Inc.",04-RC-324525,Harrisburg,PA,2023-08-24,"Region 04, Philadelphia, Pennsylvania",Closed,10/27/2023,Certification of Results,72.0,54.0,,"Included: All full-time and regular part-time warehouse employees including building utility, yard jockeys, forklift operators, general labors, and warehouse persons employed by the Employer at its 941 Dana Drive, Harrisburg, PA facility.

Excluded: All other employees, including production employees, maintenance employees, drivers, merchandisers, sales and marketing employees, office/clerical employees, temporary employees, guards and supervisors as defined in the Act.",2023
3564,LivFree Wellness LLC d/b/a The Dispensary,28-RC-324429,Las Vegas,NV,2023-08-23,"Region 28, Phoenix, Arizona",Closed,11/09/2023,Certific. of Representative,31.0,31.0,"United Food & Commercial Workers International Union, AFL-CIO, Local 711","Included: All intake, curbside, budtender, processing, product stockers, lead budtenders, inventory leads and inventory supervisors 
Excluded: Store Manager and Assistant Store Manager",2023
3565,"Allegiance Crane & Equipment, LLC",16-RC-324341,Beaumont,TX,2023-08-23,"Region 16, Fort Worth, Texas",Closed,11/14/2023,Certification of Results,8.0,9.0,INTERNATIONAL UNION OF OPERATING ENGINEERS LOCAL  450,"Included: All operators and riggers employed by the Employer, out of its Beaumont yard.

Excluded: All Other employees, guards and supervisors, as defined in the Act.",2023
3566,"Shannon Masonry Constructions, Inc.",20-RC-324361,Santa Rosa,CA,2023-08-23,"Region 20, San Francisco, California",Closed,11/14/2023,Certification of Results,39.0,30.0,,"Included: All bricklayers and hodcarriers.

Excluded: All other employees, guards, supervisors and office clericals.",2023
3567,"Trident Military Systems, LLC",16-RC-324396,Lackland AFB,TX,2023-08-23,"Region 16, Fort Worth, Texas",Closed,10/05/2023,Certific. of Representative,5.0,5.0,"INTERNATIONAL ASSOCIATION OF MACHINISTS AND AEROSPACE WORKERS, AFL-CIO","Included: All regular and part-time(Coms Tech) flight simulator techs, flight simulators tech, leads working at Trident Military Systems at Lackland AFB in San Antonio, TX.

Excluded: Office clerical employees, professional employees, managerial employees, guards, supervisors, as defined in the Act and Site Manager.",2023
3568,"Crescent Hotels & Resorts, LLC, as agent for AREPII CC Hotel, LLC d/b/a Embassy Suites by Hilton Washington DC Chevy Chase Pavilion",05-RC-324407,Washington,DC,2023-08-23,"Region 05, Baltimore, Maryland",Closed,11/01/2023,Certific. of Representative,6.0,10.0,"UNITE HERE Local 25 a/w UNITE HERE, AFL-CIO, CLC","Included: Front Desk Agents and Night Auditors.

Excluded: All others.",2023
